id,category,title,authors,year,venue,doi_or_identifier,verified_link,relevance
11,Citation-supported generation,Citation-Enhanced Generation for LLM-based Chatbots,Weitao Li; Junkai Li; Weizhi Ma; Yang Liu,2024,ACL,https://doi.org/10.18653/v1/2024.acl-long.79,https://aclanthology.org/2024.acl-long.79/,Post-hoc retrieval and citation generation to improve support for generated statements.
12,Citation-supported generation,Learning to Generate Answers with Citations via Factual Consistency Models,Rami Aly; Zhiqiang Tang; Samson Tan; George Karypis,2024,ACL,https://aclanthology.org/2024.acl-long.641/,https://aclanthology.org/2024.acl-long.641/,Uses factual-consistency models to improve citation-supported answer generation.
13,Hallucination evaluation,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,Potsawee Manakul; Adian Liusie; Mark Gales,2023,EMNLP,https://doi.org/10.18653/v1/2023.emnlp-main.557,https://aclanthology.org/2023.emnlp-main.557/,Sampling-based black-box hallucination detection.
14,Hallucination evaluation,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,Junyi Li; Xiaoxue Cheng; Xin Zhao; Jian-Yun Nie; Ji-Rong Wen,2023,EMNLP,https://doi.org/10.18653/v1/2023.emnlp-main.397,https://aclanthology.org/2023.emnlp-main.397/,Large-scale benchmark for recognizing hallucinated content.
15,Hallucination evaluation,FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,Sewon Min; Kalpesh Krishna; Xinxi Lyu; et al.,2023,EMNLP,https://doi.org/10.18653/v1/2023.emnlp-main.741,https://aclanthology.org/2023.emnlp-main.741/,Evaluates factual precision at the atomic-fact level using evidence retrieval.
16,Hallucination evaluation,HalluLens: LLM Hallucination Benchmark,Yejin Bang; Ziwei Ji; Alan Schelten; et al.,2025,ACL,https://doi.org/10.18653/v1/2025.acl-long.1176,https://aclanthology.org/2025.acl-long.1176/,Benchmark and taxonomy for intrinsic/extrinsic hallucination.
17,Hallucination evaluation,HALoGEN: Fantastic LLM Hallucinations and Where to Find Them,Abhilasha Ravichander; Shrusti Ghela; David Wadden; Yejin Choi,2025,ACL,https://doi.org/10.18653/v1/2025.acl-long.71,https://aclanthology.org/2025.acl-long.71/,Large hallucination benchmark with high-precision verification across domains.
18,Citation hallucination,Citation Constraints and Reference Hallucinations in Large Language Models,Kimberly Davis; Qusay Mahmoud,2026,Canadian Conference on Artificial Intelligence / PMLR,https://proceedings.mlr.press/v318/davis26a.html,https://proceedings.mlr.press/v318/davis26a.html,Examines reference hallucinations under different citation constraints and verification against Crossref/OpenAlex/arXiv.
19,Agentic search,Detecting and Correcting Reference Hallucinations in Commercial LLMs and Deep Research Agents,Delip Rao; Eric Wong; Chris Callison-Burch,2026,arXiv,https://doi.org/10.48550/arXiv.2604.03173,https://arxiv.org/abs/2604.03173,Directly studies citation URL validity in commercial LLMs and deep-research agents.
20,Agentic search,DeepResearch Bench: A Comprehensive Benchmark for Deep Research Agents,Mingxuan Du; Benfeng Xu; Chiwei Zhu; Xiaorui Wang; Zhendong Mao,2025,arXiv,https://doi.org/10.48550/arXiv.2506.11763,https://arxiv.org/abs/2506.11763,Benchmark for deep-research agents including citation accuracy and information retrieval evaluation.
